389.00,0.2874
388.00,0.2884
387.00,0.2888
386.00,0.2895
385.00,0.2904
384.00,0.2907
383.00,0.2916
382.00,0.2923
381.00,0.2929
380.00,0.2939
379.00,0.2945
378.00,0.2952
377.00,0.2960
376.00,0.2966
375.00,0.2972
374.00,0.2976
373.00,0.2988
372.00,0.2999
371.00,0.3010
370.00,0.3016
369.00,0.3022
368.00,0.3038
367.00,0.3042
366.00,0.3045
365.00,0.3058
364.00,0.3061
363.00,0.3065
362.00,0.3078
361.00,0.3080
360.00,0.3084
359.00,0.3084
358.00,0.3096
357.00,0.3104
356.00,0.3103
355.00,0.3105
354.00,0.3110
353.00,0.3113
352.00,0.3127
351.00,0.3130
350.00,0.3120
349.00,0.3109
348.00,0.3110
347.00,0.3101
346.00,0.3090
345.00,0.3092
344.00,0.3096
343.00,0.3104
342.00,0.3109
341.00,0.3117
340.00,0.3143
339.00,0.3145
338.00,0.3153
337.00,0.3155
336.00,0.3163
335.00,0.3176
334.00,0.3184
333.00,0.3196
332.00,0.3203
331.00,0.3217
330.00,0.3232
329.00,0.3247
328.00,0.3257
327.00,0.3273
326.00,0.3289
325.00,0.3299
324.00,0.3314
323.00,0.3332
322.00,0.3345
321.00,0.3358
320.00,0.3375
319.00,0.3395
318.00,0.3407
317.00,0.3428
316.00,0.3444
315.00,0.3459
314.00,0.3481
313.00,0.3499
312.00,0.3516
311.00,0.3537
310.00,0.3558
309.00,0.3581
308.00,0.3603
307.00,0.3623
306.00,0.3654
305.00,0.3686
304.00,0.3714
303.00,0.3739
302.00,0.3761
301.00,0.3789
300.00,0.3814
