"AG2SUC2.SPC"
WL/nm,Abs
1100.00,-0.0035
1099.00,-0.0032
1098.00,-0.0031
1097.00,-0.0031
1096.00,-0.0030
1095.00,-0.0025
1094.00,-0.0022
1093.00,-0.0022
1092.00,-0.0020
1091.00,-0.0017
1090.00,-0.0014
1089.00,-0.0013
1088.00,-0.0012
1087.00,-0.0008
1086.00,-0.0005
1085.00,-0.0003
1084.00,-0.0004
1083.00,-0.0004
1082.00,-0.0003
1081.00,0.0001
1080.00,0.0003
1079.00,0.0003
1078.00,0.0003
1077.00,0.0003
1076.00,0.0002
1075.00,0.0006
1074.00,0.0009
1073.00,0.0010
1072.00,0.0010
1071.00,0.0009
1070.00,0.0009
1069.00,0.0009
1068.00,0.0010
1067.00,0.0011
1066.00,0.0012
1065.00,0.0012
1064.00,0.0012
1063.00,0.0011
1062.00,0.0011
1061.00,0.0011
1060.00,0.0010
1059.00,0.0010
1058.00,0.0010
1057.00,0.0009
1056.00,0.0008
1055.00,0.0007
1054.00,0.0008
1053.00,0.0007
1052.00,0.0005
1051.00,0.0005
1050.00,0.0004
1049.00,0.0003
1048.00,0.0002
1047.00,0.0000
1046.00,-0.0002
1045.00,-0.0003
1044.00,-0.0004
1043.00,-0.0005
1042.00,-0.0008
1041.00,-0.0010
1040.00,-0.0013
1039.00,-0.0014
1038.00,-0.0016
1037.00,-0.0019
1036.00,-0.0021
1035.00,-0.0024
1034.00,-0.0026
1033.00,-0.0029
1032.00,-0.0032
1031.00,-0.0034
1030.00,-0.0036
1029.00,-0.0039
1028.00,-0.0042
1027.00,-0.0044
1026.00,-0.0047
1025.00,-0.0050
1024.00,-0.0054
1023.00,-0.0056
1022.00,-0.0057
1021.00,-0.0060
1020.00,-0.0064
1019.00,-0.0069
1018.00,-0.0072
1017.00,-0.0075
1016.00,-0.0077
1015.00,-0.0081
1014.00,-0.0086
1013.00,-0.0088
1012.00,-0.0092
1011.00,-0.0096
1010.00,-0.0099
1009.00,-0.0102
1008.00,-0.0105
1007.00,-0.0108
1006.00,-0.0112
1005.00,-0.0115
1004.00,-0.0118
1003.00,-0.0121
1002.00,-0.0125
1001.00,-0.0128
1000.00,-0.0130
999.00,-0.0133
998.00,-0.0136
997.00,-0.0140
996.00,-0.0144
995.00,-0.0146
994.00,-0.0148
993.00,-0.0151
992.00,-0.0155
991.00,-0.0157
990.00,-0.0161
989.00,-0.0164
988.00,-0.0166
987.00,-0.0168
986.00,-0.0170
985.00,-0.0173
984.00,-0.0175
983.00,-0.0177
982.00,-0.0180
981.00,-0.0182
980.00,-0.0186
979.00,-0.0189
978.00,-0.0191
977.00,-0.0193
976.00,-0.0195
975.00,-0.0197
974.00,-0.0199
973.00,-0.0202
972.00,-0.0201
971.00,-0.0202
970.00,-0.0204
969.00,-0.0206
968.00,-0.0207
967.00,-0.0209
966.00,-0.0208
