"4.SPC"
WL/nm,Abs
800.00,0.4815
799.00,0.4818
798.00,0.4817
797.00,0.4815
796.00,0.4815
795.00,0.4818
794.00,0.4817
793.00,0.4816
792.00,0.4815
791.00,0.4813
790.00,0.4812
789.00,0.4812
788.00,0.4812
787.00,0.4811
786.00,0.4810
785.00,0.4808
784.00,0.4806
783.00,0.4805
782.00,0.4805
781.00,0.4804
780.00,0.4801
779.00,0.4799
778.00,0.4796
777.00,0.4794
776.00,0.4791
775.00,0.4788
774.00,0.4783
773.00,0.4779
772.00,0.4776
771.00,0.4772
770.00,0.4767
769.00,0.4762
768.00,0.4759
767.00,0.4753
766.00,0.4748
765.00,0.4743
764.00,0.4739
763.00,0.4731
762.00,0.4726
761.00,0.4720
760.00,0.4696
759.00,0.4674
758.00,0.4667
757.00,0.4662
756.00,0.4655
755.00,0.4648
754.00,0.4641
753.00,0.4633
752.00,0.4625
751.00,0.4618
750.00,0.4611
749.00,0.4604
748.00,0.4593
747.00,0.4585
746.00,0.4577
745.00,0.4569
744.00,0.4560
743.00,0.4551
742.00,0.4539
741.00,0.4530
740.00,0.4522
739.00,0.4513
738.00,0.4504
737.00,0.4494
736.00,0.4483
735.00,0.4474
734.00,0.4464
733.00,0.4455
732.00,0.4445
731.00,0.4436
730.00,0.4427
729.00,0.4418
728.00,0.4406
727.00,0.4396
726.00,0.4385
725.00,0.4374
724.00,0.4361
723.00,0.4349
722.00,0.4338
721.00,0.4324
720.00,0.4311
719.00,0.4298
718.00,0.4284
717.00,0.4271
716.00,0.4256
715.00,0.4242
714.00,0.4228
713.00,0.4214
712.00,0.4199
711.00,0.4185
710.00,0.4169
709.00,0.4153
708.00,0.4138
707.00,0.4121
706.00,0.4104
705.00,0.4089
704.00,0.4074
703.00,0.4057
702.00,0.4041
701.00,0.4023
700.00,0.4005
699.00,0.3987
698.00,0.3970
697.00,0.3953
696.00,0.3936
695.00,0.3916
694.00,0.3897
693.00,0.3881
692.00,0.3863
691.00,0.3846
690.00,0.3828
689.00,0.3810
688.00,0.3791
687.00,0.3772
686.00,0.3753
685.00,0.3734
684.00,0.3716
683.00,0.3699
682.00,0.3680
681.00,0.3659
