"AM5.SPC"
WL/nm,Abs
600.00,-0.0096
599.00,-0.0087
598.00,-0.0076
597.00,-0.0062
596.00,-0.0049
595.00,-0.0036
594.00,-0.0024
593.00,-0.0012
592.00,-0.0001
591.00,0.0010
590.00,0.0021
589.00,0.0032
588.00,0.0043
587.00,0.0054
586.00,0.0065
585.00,0.0075
584.00,0.0084
583.00,0.0094
582.00,0.0106
581.00,0.0116
580.00,0.0126
579.00,0.0137
578.00,0.0147
577.00,0.0156
576.00,0.0164
575.00,0.0172
574.00,0.0181
573.00,0.0190
572.00,0.0198
571.00,0.0207
570.00,0.0216
569.00,0.0225
568.00,0.0232
567.00,0.0240
566.00,0.0246
565.00,0.0253
564.00,0.0259
563.00,0.0265
562.00,0.0272
561.00,0.0280
560.00,0.0285
559.00,0.0293
558.00,0.0300
557.00,0.0304
556.00,0.0309
555.00,0.0316
554.00,0.0319
553.00,0.0321
552.00,0.0325
551.00,0.0329
550.00,0.0333
549.00,0.0338
548.00,0.0341
547.00,0.0342
546.00,0.0343
545.00,0.0345
544.00,0.0346
543.00,0.0347
542.00,0.0348
541.00,0.0347
540.00,0.0345
539.00,0.0346
538.00,0.0346
537.00,0.0347
536.00,0.0352
535.00,0.0351
534.00,0.0349
533.00,0.0346
532.00,0.0343
531.00,0.0339
530.00,0.0334
529.00,0.0329
528.00,0.0323
527.00,0.0318
526.00,0.0312
525.00,0.0305
524.00,0.0300
523.00,0.0293
522.00,0.0286
521.00,0.0277
520.00,0.0267
519.00,0.0258
518.00,0.0250
517.00,0.0241
516.00,0.0230
515.00,0.0220
514.00,0.0210
513.00,0.0200
512.00,0.0187
511.00,0.0175
510.00,0.0163
509.00,0.0151
508.00,0.0139
507.00,0.0128
506.00,0.0113
505.00,0.0100
504.00,0.0086
503.00,0.0073
502.00,0.0058
501.00,0.0045
500.00,0.0032
