"AM23.SPC"
WL/nm,Abs
600.00,0.3925
599.00,0.3975
598.00,0.4040
597.00,0.4104
596.00,0.4168
595.00,0.4230
594.00,0.4291
593.00,0.4353
592.00,0.4414
591.00,0.4475
590.00,0.4534
589.00,0.4591
588.00,0.4647
587.00,0.4704
586.00,0.4758
585.00,0.4812
584.00,0.4865
583.00,0.4918
582.00,0.4971
581.00,0.5022
580.00,0.5072
579.00,0.5120
578.00,0.5168
577.00,0.5215
576.00,0.5262
575.00,0.5308
574.00,0.5355
573.00,0.5400
572.00,0.5442
571.00,0.5483
570.00,0.5524
569.00,0.5564
568.00,0.5603
567.00,0.5641
566.00,0.5679
565.00,0.5715
564.00,0.5751
563.00,0.5784
562.00,0.5816
561.00,0.5848
560.00,0.5878
559.00,0.5908
558.00,0.5937
557.00,0.5963
556.00,0.5987
555.00,0.6011
554.00,0.6033
553.00,0.6054
552.00,0.6073
551.00,0.6092
550.00,0.6108
549.00,0.6123
548.00,0.6136
547.00,0.6147
546.00,0.6157
545.00,0.6166
544.00,0.6171
543.00,0.6175
542.00,0.6178
541.00,0.6178
540.00,0.6175
539.00,0.6171
538.00,0.6164
537.00,0.6157
536.00,0.6148
535.00,0.6138
534.00,0.6122
533.00,0.6105
532.00,0.6087
531.00,0.6066
530.00,0.6042
529.00,0.6016
528.00,0.5986
527.00,0.5955
526.00,0.5922
525.00,0.5885
524.00,0.5849
523.00,0.5809
522.00,0.5767
521.00,0.5722
520.00,0.5675
519.00,0.5625
518.00,0.5574
517.00,0.5520
516.00,0.5465
515.00,0.5409
514.00,0.5350
513.00,0.5288
512.00,0.5224
511.00,0.5160
510.00,0.5095
509.00,0.5027
508.00,0.4959
507.00,0.4889
506.00,0.4817
505.00,0.4745
504.00,0.4672
503.00,0.4595
502.00,0.4520
501.00,0.4443
500.00,0.4375
