"AM22.SPC"
WL/nm,Abs
600.00,0.3246
599.00,0.3287
598.00,0.3340
597.00,0.3392
596.00,0.3444
595.00,0.3495
594.00,0.3544
593.00,0.3594
592.00,0.3643
591.00,0.3691
590.00,0.3738
589.00,0.3784
588.00,0.3829
587.00,0.3873
586.00,0.3916
585.00,0.3958
584.00,0.3999
583.00,0.4040
582.00,0.4081
581.00,0.4121
580.00,0.4159
579.00,0.4196
578.00,0.4232
577.00,0.4267
576.00,0.4302
575.00,0.4337
574.00,0.4371
573.00,0.4404
572.00,0.4434
571.00,0.4465
570.00,0.4494
569.00,0.4522
568.00,0.4549
567.00,0.4576
566.00,0.4601
565.00,0.4626
564.00,0.4650
563.00,0.4672
562.00,0.4694
561.00,0.4714
560.00,0.4734
559.00,0.4752
558.00,0.4771
557.00,0.4786
556.00,0.4800
555.00,0.4813
554.00,0.4825
553.00,0.4836
552.00,0.4845
551.00,0.4855
550.00,0.4861
549.00,0.4868
548.00,0.4872
547.00,0.4874
546.00,0.4876
545.00,0.4876
544.00,0.4874
543.00,0.4871
542.00,0.4867
541.00,0.4860
540.00,0.4851
539.00,0.4841
538.00,0.4829
537.00,0.4816
536.00,0.4803
535.00,0.4789
534.00,0.4771
533.00,0.4749
532.00,0.4728
531.00,0.4704
530.00,0.4679
529.00,0.4651
528.00,0.4620
527.00,0.4588
526.00,0.4555
525.00,0.4519
524.00,0.4484
523.00,0.4445
522.00,0.4404
521.00,0.4362
520.00,0.4317
519.00,0.4273
518.00,0.4224
517.00,0.4175
516.00,0.4124
515.00,0.4073
514.00,0.4020
513.00,0.3965
512.00,0.3909
511.00,0.3852
510.00,0.3794
509.00,0.3735
508.00,0.3675
507.00,0.3614
506.00,0.3550
505.00,0.3489
504.00,0.3426
503.00,0.3361
502.00,0.3295
501.00,0.3230
500.00,0.3173
