"AM21.SPC"
WL/nm,Abs
600.00,0.2197
599.00,0.2219
598.00,0.2246
597.00,0.2273
596.00,0.2299
595.00,0.2325
594.00,0.2352
593.00,0.2378
592.00,0.2402
591.00,0.2426
590.00,0.2450
589.00,0.2473
588.00,0.2496
587.00,0.2518
586.00,0.2540
585.00,0.2561
584.00,0.2582
583.00,0.2602
582.00,0.2623
581.00,0.2642
580.00,0.2661
579.00,0.2680
578.00,0.2697
577.00,0.2714
576.00,0.2731
575.00,0.2748
574.00,0.2765
573.00,0.2781
572.00,0.2795
571.00,0.2809
570.00,0.2823
569.00,0.2836
568.00,0.2849
567.00,0.2862
566.00,0.2873
565.00,0.2884
564.00,0.2895
563.00,0.2904
562.00,0.2913
561.00,0.2922
560.00,0.2931
559.00,0.2939
558.00,0.2946
557.00,0.2952
556.00,0.2958
555.00,0.2962
554.00,0.2966
553.00,0.2970
552.00,0.2973
551.00,0.2975
550.00,0.2976
549.00,0.2977
548.00,0.2977
547.00,0.2975
546.00,0.2974
545.00,0.2970
544.00,0.2967
543.00,0.2963
542.00,0.2957
541.00,0.2951
540.00,0.2943
539.00,0.2935
538.00,0.2926
537.00,0.2916
536.00,0.2906
535.00,0.2896
534.00,0.2883
533.00,0.2869
532.00,0.2854
531.00,0.2839
530.00,0.2821
529.00,0.2804
528.00,0.2784
527.00,0.2765
526.00,0.2743
525.00,0.2721
524.00,0.2699
523.00,0.2675
522.00,0.2651
521.00,0.2626
520.00,0.2599
519.00,0.2572
518.00,0.2544
517.00,0.2515
516.00,0.2485
515.00,0.2456
514.00,0.2425
513.00,0.2392
512.00,0.2359
511.00,0.2327
510.00,0.2293
509.00,0.2259
508.00,0.2225
507.00,0.2190
506.00,0.2155
505.00,0.2120
504.00,0.2084
503.00,0.2047
502.00,0.2011
501.00,0.1974
500.00,0.1942
