0.03	2.67	2140
0.03	2.58	2410
0.04	2.49	2780
0.04	2.41	3150
0.05	2.33	3600
0.05	2.26	4060
0.05	2.2	4520
0.05	2.15	4980
0.05	2.1	5440
0.05	2.06	5910
0.05	2.02	6370
0.05	1.98	6840
0.05	1.95	7310
0.05	1.92	7780
0.05	1.89	8240
0.05	1.86	8710
0.05	1.84	9180
0.05	1.81	9650
0.05	1.79	10120
0.05	1.77	10590
0.05	1.75	11060
0.05	1.73	11530
0.1	1.69	12480
0.2	1.62	14330
0.5	1.49	19060
0.5	1.39	23800
0.5	1.31	28400
0.5	1.25	32900
0.5	1.18	37500
0.5	1.14	41800
