"IV1_6.TMC"
Time/sec,Abs
0.0,2.0503
2.0,2.0062
4.0,1.9634
6.0,1.9225
8.0,1.8836
10.0,1.8458
12.0,1.8094
14.0,1.7740
16.0,1.7355
18.0,1.6960
20.0,1.6564
22.0,1.6151
24.0,1.5734
26.0,1.5346
28.0,1.4981
30.0,1.4622
32.0,1.4279
34.0,1.3956
36.0,1.3638
38.0,1.3327
40.0,1.3028
42.0,1.2740
44.0,1.2461
46.0,1.2189
48.0,1.1925
50.0,1.1667
52.0,1.1415
54.0,1.1169
56.0,1.0927
58.0,1.0690
60.0,1.0463
62.0,1.0246
64.0,1.0023
66.0,0.9792
68.0,0.9572
70.0,0.9365
72.0,0.9164
74.0,0.8969
76.0,0.8780
78.0,0.8597
80.0,0.8419
82.0,0.8247
84.0,0.8076
86.0,0.7906
88.0,0.7739
90.0,0.7578
92.0,0.7422
94.0,0.7270
96.0,0.7122
98.0,0.6978
100.0,0.6837
102.0,0.6699
104.0,0.6567
106.0,0.6439
108.0,0.6316
110.0,0.6196
112.0,0.6078
114.0,0.5958
116.0,0.5835
118.0,0.5716
120.0,0.5598
122.0,0.5481
124.0,0.5368
126.0,0.5258
128.0,0.5157
130.0,0.5060
132.0,0.4966
134.0,0.4875
136.0,0.4787
138.0,0.4701
140.0,0.4617
142.0,0.4534
144.0,0.4453
146.0,0.4374
148.0,0.4297
150.0,0.4221
152.0,0.4145
154.0,0.4071
156.0,0.3999
158.0,0.3929
160.0,0.3861
162.0,0.3794
164.0,0.3729
166.0,0.3666
168.0,0.3605
170.0,0.3546
172.0,0.3490
174.0,0.3434
176.0,0.3379
178.0,0.3328
180.0,0.3278
182.0,0.3226
184.0,0.3177
186.0,0.3129
188.0,0.3082
190.0,0.3037
192.0,0.2991
194.0,0.2948
196.0,0.2906
198.0,0.2865
200.0,0.2825
202.0,0.2786
204.0,0.2749
206.0,0.2712
208.0,0.2676
210.0,0.2642
212.0,0.2607
214.0,0.2575
216.0,0.2541
218.0,0.2509
220.0,0.2478
222.0,0.2448
224.0,0.2419
226.0,0.2389
228.0,0.2361
230.0,0.2336
232.0,0.2309
234.0,0.2285
236.0,0.2261
238.0,0.2237
240.0,0.2210
242.0,0.2188
244.0,0.2166
246.0,0.2145
248.0,0.2123
250.0,0.2102
252.0,0.2081
254.0,0.2061
256.0,0.2041
258.0,0.2022
260.0,0.2003
262.0,0.1984
264.0,0.1966
266.0,0.1950
268.0,0.1934
270.0,0.1917
272.0,0.1900
274.0,0.1885
276.0,0.1871
278.0,0.1857
280.0,0.1843
282.0,0.1830
284.0,0.1816
286.0,0.1803
288.0,0.1791
290.0,0.1778
292.0,0.1766
294.0,0.1754
296.0,0.1743
298.0,0.1731
300.0,0.1720
302.0,0.1710
304.0,0.1699
306.0,0.1689
308.0,0.1679
310.0,0.1670
312.0,0.1660
314.0,0.1651
316.0,0.1642
318.0,0.1634
320.0,0.1626
322.0,0.1617
324.0,0.1609
326.0,0.1601
328.0,0.1593
330.0,0.1585
332.0,0.1578
334.0,0.1571
336.0,0.1565
338.0,0.1558
340.0,0.1552
342.0,0.1545
344.0,0.1539
346.0,0.1533
348.0,0.1528
350.0,0.1522
352.0,0.1516
354.0,0.1510
356.0,0.1505
358.0,0.1500
360.0,0.1495
362.0,0.1490
364.0,0.1485
366.0,0.1481
368.0,0.1477
370.0,0.1472
372.0,0.1468
374.0,0.1464
376.0,0.1460
378.0,0.1457
380.0,0.1453
382.0,0.1448
384.0,0.1445
386.0,0.1442
388.0,0.1438
390.0,0.1435
392.0,0.1432
394.0,0.1428
396.0,0.1426
398.0,0.1423
400.0,0.1420
402.0,0.1417
404.0,0.1413
406.0,0.1411
408.0,0.1408
410.0,0.1406
412.0,0.1403
414.0,0.1401
416.0,0.1398
418.0,0.1396
420.0,0.1394
422.0,0.1392
424.0,0.1390
426.0,0.1388
428.0,0.1386
430.0,0.1384
432.0,0.1382
434.0,0.1379
436.0,0.1377
438.0,0.1375
440.0,0.1374
442.0,0.1373
444.0,0.1373
446.0,0.1371
448.0,0.1368
450.0,0.1366
452.0,0.1365
454.0,0.1364
456.0,0.1362
458.0,0.1360
460.0,0.1359
462.0,0.1358
464.0,0.1357
466.0,0.1356
468.0,0.1354
470.0,0.1353
472.0,0.1353
474.0,0.1352
476.0,0.1350
478.0,0.1349
480.0,0.1348
482.0,0.1346
484.0,0.1346
486.0,0.1345
488.0,0.1344
490.0,0.1343
492.0,0.1342
494.0,0.1341
496.0,0.1341
498.0,0.1340
500.0,0.1339
502.0,0.1337
504.0,0.1337
506.0,0.1337
508.0,0.1337
510.0,0.1335
512.0,0.1334
514.0,0.1334
516.0,0.1334
518.0,0.1333
520.0,0.1332
522.0,0.1331
524.0,0.1330
526.0,0.1330
528.0,0.1329
530.0,0.1329
532.0,0.1329
534.0,0.1328
536.0,0.1327
538.0,0.1327
540.0,0.1327
542.0,0.1326
544.0,0.1326
546.0,0.1325
548.0,0.1325
550.0,0.1324
552.0,0.1323
554.0,0.1322
556.0,0.1322
558.0,0.1322
560.0,0.1322
562.0,0.1322
564.0,0.1322
566.0,0.1321
568.0,0.1322
570.0,0.1321
572.0,0.1320
574.0,0.1320
576.0,0.1320
578.0,0.1321
580.0,0.1321
582.0,0.1320
584.0,0.1319
586.0,0.1319
588.0,0.1319
590.0,0.1319
592.0,0.1320
594.0,0.1319
596.0,0.1318
598.0,0.1318
600.0,0.1318
