"IV1_4.TMC"
Time/sec,Abs
0.0,1.8500
2.0,1.8255
4.0,1.8026
6.0,1.7775
8.0,1.7503
10.0,1.7263
12.0,1.7026
14.0,1.6807
16.0,1.6586
18.0,1.6361
20.0,1.6130
22.0,1.5889
24.0,1.5645
26.0,1.5404
28.0,1.5174
30.0,1.4950
32.0,1.4731
34.0,1.4515
36.0,1.4305
38.0,1.4099
40.0,1.3897
42.0,1.3694
44.0,1.3496
46.0,1.3300
48.0,1.3108
50.0,1.2918
52.0,1.2731
54.0,1.2547
56.0,1.2365
58.0,1.2185
60.0,1.2008
62.0,1.1835
64.0,1.1665
66.0,1.1498
68.0,1.1336
70.0,1.1177
72.0,1.1020
74.0,1.0862
76.0,1.0707
78.0,1.0550
80.0,1.0393
82.0,1.0246
84.0,1.0100
86.0,0.9957
88.0,0.9816
90.0,0.9678
92.0,0.9542
94.0,0.9410
96.0,0.9280
98.0,0.9151
100.0,0.9021
102.0,0.8896
104.0,0.8772
106.0,0.8651
108.0,0.8532
110.0,0.8415
112.0,0.8298
114.0,0.8184
116.0,0.8072
118.0,0.7966
120.0,0.7860
122.0,0.7752
124.0,0.7646
126.0,0.7539
128.0,0.7427
130.0,0.7325
132.0,0.7225
134.0,0.7127
136.0,0.7031
138.0,0.6937
140.0,0.6844
142.0,0.6753
144.0,0.6663
146.0,0.6578
148.0,0.6493
150.0,0.6405
152.0,0.6320
154.0,0.6237
156.0,0.6156
158.0,0.6077
160.0,0.5999
162.0,0.5921
164.0,0.5846
166.0,0.5772
168.0,0.5698
170.0,0.5626
172.0,0.5558
174.0,0.5489
176.0,0.5420
178.0,0.5355
180.0,0.5291
182.0,0.5227
184.0,0.5165
186.0,0.5108
188.0,0.5047
190.0,0.4981
192.0,0.4918
194.0,0.4859
196.0,0.4802
198.0,0.4746
200.0,0.4689
202.0,0.4632
204.0,0.4578
206.0,0.4525
208.0,0.4474
210.0,0.4423
212.0,0.4373
214.0,0.4323
216.0,0.4274
218.0,0.4226
220.0,0.4180
222.0,0.4135
224.0,0.4090
226.0,0.4045
228.0,0.4000
230.0,0.3957
232.0,0.3916
234.0,0.3875
236.0,0.3835
238.0,0.3796
240.0,0.3757
242.0,0.3719
244.0,0.3681
246.0,0.3643
248.0,0.3606
250.0,0.3571
252.0,0.3536
254.0,0.3501
256.0,0.3466
258.0,0.3435
260.0,0.3402
262.0,0.3367
264.0,0.3335
266.0,0.3303
268.0,0.3272
270.0,0.3241
272.0,0.3211
274.0,0.3182
276.0,0.3154
278.0,0.3125
280.0,0.3098
282.0,0.3071
284.0,0.3045
286.0,0.3019
288.0,0.2997
290.0,0.2969
292.0,0.2943
294.0,0.2918
296.0,0.2893
298.0,0.2869
300.0,0.2846
302.0,0.2822
304.0,0.2800
306.0,0.2779
308.0,0.2757
310.0,0.2735
312.0,0.2715
314.0,0.2694
316.0,0.2674
318.0,0.2654
320.0,0.2634
322.0,0.2615
324.0,0.2597
326.0,0.2579
328.0,0.2561
330.0,0.2543
332.0,0.2525
334.0,0.2508
336.0,0.2491
338.0,0.2475
340.0,0.2459
342.0,0.2443
344.0,0.2427
346.0,0.2411
348.0,0.2396
350.0,0.2381
352.0,0.2366
354.0,0.2351
356.0,0.2338
358.0,0.2324
360.0,0.2310
362.0,0.2297
364.0,0.2284
366.0,0.2270
368.0,0.2257
370.0,0.2244
372.0,0.2232
374.0,0.2220
376.0,0.2208
378.0,0.2197
380.0,0.2187
382.0,0.2174
384.0,0.2162
386.0,0.2152
388.0,0.2141
390.0,0.2131
392.0,0.2120
394.0,0.2110
396.0,0.2100
398.0,0.2090
400.0,0.2081
402.0,0.2072
404.0,0.2062
406.0,0.2053
408.0,0.2044
410.0,0.2035
412.0,0.2027
414.0,0.2019
416.0,0.2011
418.0,0.2003
420.0,0.1995
422.0,0.1987
424.0,0.1979
426.0,0.1971
428.0,0.1963
430.0,0.1955
432.0,0.1948
434.0,0.1940
436.0,0.1933
438.0,0.1926
440.0,0.1920
442.0,0.1914
444.0,0.1907
446.0,0.1901
448.0,0.1895
450.0,0.1888
452.0,0.1882
454.0,0.1876
456.0,0.1871
458.0,0.1866
460.0,0.1859
462.0,0.1853
464.0,0.1848
466.0,0.1842
468.0,0.1837
470.0,0.1832
472.0,0.1827
474.0,0.1822
476.0,0.1817
478.0,0.1812
480.0,0.1808
482.0,0.1804
484.0,0.1799
486.0,0.1795
488.0,0.1790
490.0,0.1786
492.0,0.1781
494.0,0.1776
496.0,0.1772
498.0,0.1768
500.0,0.1764
502.0,0.1760
504.0,0.1756
506.0,0.1753
508.0,0.1749
510.0,0.1745
512.0,0.1742
514.0,0.1739
516.0,0.1736
518.0,0.1732
520.0,0.1729
522.0,0.1725
524.0,0.1722
526.0,0.1719
528.0,0.1716
530.0,0.1713
532.0,0.1711
534.0,0.1707
536.0,0.1704
538.0,0.1701
540.0,0.1700
542.0,0.1698
544.0,0.1696
546.0,0.1693
548.0,0.1689
550.0,0.1685
552.0,0.1683
554.0,0.1680
556.0,0.1678
558.0,0.1675
560.0,0.1673
562.0,0.1671
564.0,0.1669
566.0,0.1667
568.0,0.1665
570.0,0.1662
572.0,0.1660
574.0,0.1658
576.0,0.1656
578.0,0.1654
580.0,0.1652
582.0,0.1650
584.0,0.1648
586.0,0.1647
588.0,0.1645
590.0,0.1644
592.0,0.1644
594.0,0.1641
596.0,0.1638
598.0,0.1636
600.0,0.1635
