"IV1_5.TMC"
Time/sec,Abs
0.0,1.8066
2.0,1.7771
4.0,1.7463
6.0,1.7191
8.0,1.6976
10.0,1.6762
12.0,1.6485
14.0,1.6105
16.0,1.5715
18.0,1.5369
20.0,1.5043
22.0,1.4747
24.0,1.4480
26.0,1.4209
28.0,1.3943
30.0,1.3687
32.0,1.3449
34.0,1.3216
36.0,1.2986
38.0,1.2752
40.0,1.2511
42.0,1.2266
44.0,1.2028
46.0,1.1799
48.0,1.1580
50.0,1.1367
52.0,1.1157
54.0,1.0950
56.0,1.0749
58.0,1.0554
60.0,1.0361
62.0,1.0174
64.0,0.9991
66.0,0.9812
68.0,0.9637
70.0,0.9466
72.0,0.9300
74.0,0.9136
76.0,0.8977
78.0,0.8823
80.0,0.8674
82.0,0.8526
84.0,0.8381
86.0,0.8239
88.0,0.8101
90.0,0.7966
92.0,0.7832
94.0,0.7699
96.0,0.7566
98.0,0.7430
100.0,0.7294
102.0,0.7160
104.0,0.7029
106.0,0.6904
108.0,0.6786
110.0,0.6669
112.0,0.6555
114.0,0.6441
116.0,0.6330
118.0,0.6222
120.0,0.6116
122.0,0.6014
124.0,0.5913
126.0,0.5816
128.0,0.5720
130.0,0.5628
132.0,0.5537
134.0,0.5448
136.0,0.5361
138.0,0.5275
140.0,0.5190
142.0,0.5107
144.0,0.5026
146.0,0.4947
148.0,0.4869
150.0,0.4793
152.0,0.4717
154.0,0.4644
156.0,0.4571
158.0,0.4500
160.0,0.4431
162.0,0.4364
164.0,0.4298
166.0,0.4233
168.0,0.4169
170.0,0.4108
172.0,0.4047
174.0,0.3986
176.0,0.3926
178.0,0.3868
180.0,0.3811
182.0,0.3757
184.0,0.3705
186.0,0.3653
188.0,0.3601
190.0,0.3552
192.0,0.3508
194.0,0.3462
196.0,0.3412
198.0,0.3363
200.0,0.3318
202.0,0.3274
204.0,0.3231
206.0,0.3190
208.0,0.3149
210.0,0.3110
212.0,0.3071
214.0,0.3033
216.0,0.2995
218.0,0.2958
220.0,0.2922
222.0,0.2888
224.0,0.2852
226.0,0.2817
228.0,0.2784
230.0,0.2752
232.0,0.2719
234.0,0.2687
236.0,0.2655
238.0,0.2624
240.0,0.2594
242.0,0.2565
244.0,0.2537
246.0,0.2510
248.0,0.2483
250.0,0.2456
252.0,0.2431
254.0,0.2405
256.0,0.2380
258.0,0.2356
260.0,0.2333
262.0,0.2310
264.0,0.2287
266.0,0.2265
268.0,0.2243
270.0,0.2222
272.0,0.2201
274.0,0.2181
276.0,0.2161
278.0,0.2143
280.0,0.2124
282.0,0.2106
284.0,0.2088
286.0,0.2071
288.0,0.2053
290.0,0.2037
292.0,0.2023
294.0,0.2007
296.0,0.1989
298.0,0.1973
300.0,0.1957
302.0,0.1943
304.0,0.1929
306.0,0.1915
308.0,0.1901
310.0,0.1888
312.0,0.1877
314.0,0.1862
316.0,0.1847
318.0,0.1834
320.0,0.1821
322.0,0.1810
324.0,0.1798
326.0,0.1787
328.0,0.1775
330.0,0.1765
332.0,0.1754
334.0,0.1743
336.0,0.1732
338.0,0.1722
340.0,0.1713
342.0,0.1703
344.0,0.1693
346.0,0.1683
348.0,0.1674
350.0,0.1666
352.0,0.1658
354.0,0.1649
356.0,0.1641
358.0,0.1633
360.0,0.1625
362.0,0.1617
364.0,0.1609
366.0,0.1602
368.0,0.1594
370.0,0.1587
372.0,0.1580
374.0,0.1573
376.0,0.1566
378.0,0.1560
380.0,0.1553
382.0,0.1547
384.0,0.1541
386.0,0.1535
388.0,0.1530
390.0,0.1524
392.0,0.1518
394.0,0.1513
396.0,0.1508
398.0,0.1503
400.0,0.1498
402.0,0.1493
404.0,0.1487
406.0,0.1482
408.0,0.1477
410.0,0.1472
412.0,0.1468
414.0,0.1464
416.0,0.1459
418.0,0.1455
420.0,0.1451
422.0,0.1446
424.0,0.1442
426.0,0.1438
428.0,0.1435
430.0,0.1431
432.0,0.1428
434.0,0.1424
436.0,0.1421
438.0,0.1417
440.0,0.1414
442.0,0.1410
444.0,0.1407
446.0,0.1403
448.0,0.1400
450.0,0.1398
452.0,0.1396
454.0,0.1395
456.0,0.1393
458.0,0.1389
460.0,0.1385
462.0,0.1382
464.0,0.1379
466.0,0.1376
468.0,0.1374
470.0,0.1371
472.0,0.1369
474.0,0.1367
476.0,0.1364
478.0,0.1362
480.0,0.1360
482.0,0.1358
484.0,0.1356
486.0,0.1354
488.0,0.1352
490.0,0.1350
492.0,0.1348
494.0,0.1346
496.0,0.1345
498.0,0.1344
500.0,0.1342
502.0,0.1340
504.0,0.1339
506.0,0.1337
508.0,0.1336
510.0,0.1335
512.0,0.1333
514.0,0.1330
516.0,0.1328
518.0,0.1326
520.0,0.1325
522.0,0.1324
524.0,0.1323
526.0,0.1321
528.0,0.1320
530.0,0.1319
532.0,0.1321
534.0,0.1319
536.0,0.1316
538.0,0.1314
540.0,0.1314
542.0,0.1315
544.0,0.1315
546.0,0.1312
548.0,0.1309
550.0,0.1308
552.0,0.1307
554.0,0.1306
556.0,0.1305
558.0,0.1306
560.0,0.1303
562.0,0.1302
564.0,0.1302
566.0,0.1301
568.0,0.1300
570.0,0.1299
572.0,0.1298
574.0,0.1297
576.0,0.1297
578.0,0.1296
580.0,0.1297
582.0,0.1296
584.0,0.1295
586.0,0.1293
588.0,0.1292
590.0,0.1292
592.0,0.1291
594.0,0.1291
596.0,0.1290
598.0,0.1290
600.0,0.1289
