"IV2_2.TMC"
Time/sec,Abs
0.0,1.9715
2.0,1.9557
4.0,1.9406
6.0,1.9242
8.0,1.9063
10.0,1.8904
12.0,1.8745
14.0,1.8578
16.0,1.8410
18.0,1.8243
20.0,1.8078
22.0,1.7914
24.0,1.7753
26.0,1.7594
28.0,1.7439
30.0,1.7285
32.0,1.7130
34.0,1.6979
36.0,1.6828
38.0,1.6678
40.0,1.6526
42.0,1.6374
44.0,1.6225
46.0,1.6079
48.0,1.5937
50.0,1.5795
52.0,1.5657
54.0,1.5519
56.0,1.5382
58.0,1.5246
60.0,1.5111
62.0,1.4976
64.0,1.4843
66.0,1.4710
68.0,1.4579
70.0,1.4450
72.0,1.4322
74.0,1.4194
76.0,1.4069
78.0,1.3944
80.0,1.3819
82.0,1.3695
84.0,1.3572
86.0,1.3451
88.0,1.3332
90.0,1.3213
92.0,1.3096
94.0,1.2980
96.0,1.2865
98.0,1.2751
100.0,1.2638
102.0,1.2527
104.0,1.2416
106.0,1.2306
108.0,1.2198
110.0,1.2090
112.0,1.1983
114.0,1.1877
116.0,1.1771
118.0,1.1667
120.0,1.1564
122.0,1.1463
124.0,1.1363
126.0,1.1264
128.0,1.1165
130.0,1.1068
132.0,1.0972
134.0,1.0878
136.0,1.0785
138.0,1.0692
140.0,1.0600
142.0,1.0508
144.0,1.0418
146.0,1.0329
148.0,1.0240
150.0,1.0153
152.0,1.0067
154.0,0.9982
156.0,0.9899
158.0,0.9816
160.0,0.9734
162.0,0.9651
164.0,0.9568
166.0,0.9486
168.0,0.9405
170.0,0.9326
172.0,0.9249
174.0,0.9172
176.0,0.9096
178.0,0.9020
180.0,0.8945
182.0,0.8872
184.0,0.8802
186.0,0.8734
188.0,0.8664
190.0,0.8594
192.0,0.8521
194.0,0.8449
196.0,0.8379
198.0,0.8309
200.0,0.8241
202.0,0.8174
204.0,0.8107
206.0,0.8042
208.0,0.7978
210.0,0.7914
212.0,0.7851
214.0,0.7789
216.0,0.7728
218.0,0.7668
220.0,0.7608
222.0,0.7550
224.0,0.7492
226.0,0.7435
228.0,0.7378
230.0,0.7322
232.0,0.7267
234.0,0.7211
236.0,0.7156
238.0,0.7103
240.0,0.7050
242.0,0.7000
244.0,0.6951
246.0,0.6899
248.0,0.6847
250.0,0.6795
252.0,0.6744
254.0,0.6694
256.0,0.6644
258.0,0.6596
260.0,0.6548
262.0,0.6501
264.0,0.6454
266.0,0.6408
268.0,0.6362
270.0,0.6317
272.0,0.6273
274.0,0.6229
276.0,0.6186
278.0,0.6143
280.0,0.6100
282.0,0.6058
284.0,0.6017
286.0,0.5975
288.0,0.5935
290.0,0.5895
292.0,0.5856
294.0,0.5817
296.0,0.5779
298.0,0.5741
300.0,0.5703
302.0,0.5666
304.0,0.5629
306.0,0.5593
308.0,0.5557
310.0,0.5521
312.0,0.5486
314.0,0.5452
316.0,0.5417
318.0,0.5383
320.0,0.5350
322.0,0.5317
324.0,0.5286
326.0,0.5257
328.0,0.5226
330.0,0.5194
332.0,0.5160
334.0,0.5127
336.0,0.5095
338.0,0.5065
340.0,0.5035
342.0,0.5005
344.0,0.4976
346.0,0.4947
348.0,0.4918
350.0,0.4891
352.0,0.4863
354.0,0.4835
356.0,0.4807
358.0,0.4780
360.0,0.4754
362.0,0.4728
364.0,0.4702
366.0,0.4677
368.0,0.4652
370.0,0.4627
372.0,0.4603
374.0,0.4578
376.0,0.4554
378.0,0.4531
380.0,0.4508
382.0,0.4484
384.0,0.4461
386.0,0.4439
388.0,0.4417
390.0,0.4395
392.0,0.4373
394.0,0.4352
396.0,0.4332
398.0,0.4312
400.0,0.4292
402.0,0.4270
404.0,0.4249
406.0,0.4226
408.0,0.4205
410.0,0.4185
412.0,0.4165
414.0,0.4146
416.0,0.4126
418.0,0.4107
420.0,0.4090
422.0,0.4072
424.0,0.4053
426.0,0.4034
428.0,0.4015
430.0,0.3997
432.0,0.3980
434.0,0.3963
436.0,0.3946
438.0,0.3929
440.0,0.3912
442.0,0.3895
444.0,0.3879
446.0,0.3862
448.0,0.3846
450.0,0.3830
452.0,0.3814
454.0,0.3799
456.0,0.3784
458.0,0.3769
460.0,0.3755
462.0,0.3740
464.0,0.3726
466.0,0.3711
468.0,0.3697
470.0,0.3683
472.0,0.3669
474.0,0.3656
476.0,0.3642
478.0,0.3628
480.0,0.3615
482.0,0.3602
484.0,0.3589
486.0,0.3576
488.0,0.3563
490.0,0.3551
492.0,0.3539
494.0,0.3527
496.0,0.3515
498.0,0.3503
500.0,0.3491
502.0,0.3479
504.0,0.3469
506.0,0.3458
508.0,0.3447
510.0,0.3436
512.0,0.3424
514.0,0.3413
516.0,0.3402
518.0,0.3392
520.0,0.3382
522.0,0.3371
524.0,0.3361
526.0,0.3352
528.0,0.3342
530.0,0.3332
532.0,0.3322
534.0,0.3312
536.0,0.3302
538.0,0.3292
540.0,0.3282
542.0,0.3273
544.0,0.3263
546.0,0.3254
548.0,0.3246
550.0,0.3238
552.0,0.3230
554.0,0.3222
556.0,0.3212
558.0,0.3203
560.0,0.3195
562.0,0.3186
564.0,0.3177
566.0,0.3169
568.0,0.3161
570.0,0.3154
572.0,0.3146
574.0,0.3138
576.0,0.3131
578.0,0.3123
580.0,0.3116
582.0,0.3109
584.0,0.3101
586.0,0.3094
588.0,0.3087
590.0,0.3081
592.0,0.3074
594.0,0.3067
596.0,0.3060
598.0,0.3054
600.0,0.3047
