Time_Sec,IV1_1,IV1_1REA,IV1_2,IV1_4,IV1_5,IV1_6,IV21,IV22,IV23,IV24,IV25,IV26
574.0,0.2618,0.9433,0.442,0.1658,0.1297,0.132,0.5711,0.3138,0.2969,0.3058,0.2849,0.2997
576.0,0.2611,0.9416,0.4408,0.1656,0.1297,0.132,0.5696,0.3131,0.2963,0.3053,0.2844,0.2991
578.0,0.2604,0.9397,0.4396,0.1654,0.1296,0.1321,0.5682,0.3123,0.2957,0.3047,0.2837,0.2985
580.0,0.2598,0.9377,0.4383,0.1652,0.1297,0.1321,0.5668,0.3116,0.2951,0.3041,0.2831,0.2979
582.0,0.2592,0.9359,0.4372,0.165,0.1296,0.132,0.5654,0.3109,0.2944,0.3036,0.2825,0.2974
584.0,0.2586,0.9341,0.436,0.1648,0.1295,0.1319,0.5639,0.3101,0.2938,0.3031,0.2821,0.2968
586.0,0.258,0.9322,0.4348,0.1647,0.1293,0.1319,0.5624,0.3094,0.2932,0.3025,0.2815,0.2963
588.0,0.2575,0.9304,0.4337,0.1645,0.1292,0.1319,0.561,0.3087,0.2926,0.302,0.2809,0.2958
590.0,0.2569,0.9287,0.4326,0.1644,0.1292,0.1319,0.5596,0.3081,0.2921,0.3015,0.2803,0.2953
592.0,0.2563,0.9269,0.4315,0.1644,0.1291,0.132,0.5582,0.3074,0.2915,0.301,0.2797,0.2948
594.0,0.2558,0.9251,0.4304,0.1641,0.1291,0.1319,0.5569,0.3067,0.2909,0.3005,0.2792,0.2943
596.0,0.2553,0.9234,0.4292,0.1638,0.129,0.1318,0.5555,0.306,0.2904,0.3,0.2787,0.2938
598.0,0.2548,0.9217,0.4281,0.1636,0.129,0.1318,0.5541,0.3054,0.2899,0.2996,0.2782,0.2933
600.0,0.2542,0.92,0.427,0.1635,0.1289,0.1318,0.5527,0.3047,0.2894,0.2991,0.2777,0.2928
